algo,family,prep_us,infer_us,train_acc,test_acc,precision_macro,recall_macro,f1_macro,f1_weighted,per_class_f1,confusion,edge_ratio,kp_count,binary_ratio,mean_intensity,n_train,n_test
passthrough,basics,0.7341457053254812,1.8411401470075361,0.5244444444444445,0.36,0.44960212201591504,0.3968253968253968,0.31157615353205387,0.30004654961208654,circle=0.129;square=0.456;triangle=0.350,"2,21,4|1,18,2|1,19,7",0.1662139892578125,94.09375,0.09246826171875,53.8787841796875,900,75
harris,keypoints,34.34525641541068,1.781890205165837,0.8144444444444444,0.64,0.6444099378881988,0.6349206349206349,0.6371717171717172,0.6454787878787879,circle=0.618;square=0.533;triangle=0.760,"17,8,2|7,12,2|4,4,19",0.206756591796875,71.34375,0.071075439453125,41.199920654296875,900,75
sobel,edges,8.087051280129415,1.8483124222257175,0.7811111111111111,0.56,0.5632064350599819,0.5573192239858907,0.5566666666666666,0.5572,circle=0.520;square=0.550;triangle=0.600,"13,4,10|5,11,5|5,4,18",0.1109619140625,9.796875,0.0215606689453125,26.052947998046875,900,75
